time,close,high,low,open,volumefrom,volumeto
2024-08-03 03:00:00,541.57,542.62,540.33,536.53,1993.18,1079439.03
2024-08-03 04:00:00,540.07,540.62,536.87,541.57,1727.38,932898.36
2024-08-03 05:00:00,541.67,543.03,541,540.07,1226.16,664178.07
2024-08-03 06:00:00,543.92,544.35,542.74,541.67,1083.16,589149.94
2024-08-03 07:00:00,540.29,542.88,539.37,543.92,2317.33,1252030.1
2024-08-03 08:00:00,538.66,540.51,537.37,540.29,1787.91,963074.24
2024-08-03 09:00:00,539.28,540.14,538.73,538.66,1114.85,601216.59
2024-08-03 10:00:00,540.05,540.67,539.5,539.28,984.66,531770.01
2024-08-03 11:00:00,540.87,541.3,540.07,540.05,847.48,458377.84
2024-08-03 12:00:00,541.99,542.61,541,540.87,1357.61,735814.86
2024-08-03 13:00:00,542.51,543.25,542.01,541.99,892.15,483997.78
2024-08-03 14:00:00,542.3,543.72,541.74,542.51,892.84,484186.2
2024-08-03 15:00:00,531.66,533,529.78,542.3,3459.11,1839078.08
2024-08-03 16:00:00,531.25,533.75,528.94,531.66,9347.01,4965622.05
2024-08-03 17:00:00,527.4,528.67,524.85,531.25,7094.8,3741764
2024-08-03 18:00:00,527.05,527.05,523.5,527.4,3916.92,2064408.48
2024-08-03 19:00:00,523.22,528.16,523.22,527.05,3404.3,1781195.02
2024-08-03 20:00:00,524.07,525.34,522.68,523.22,2294.31,1202380.05
2024-08-03 21:00:00,527.58,529.7,526.07,524.07,6138.05,3238314.5
2024-08-03 22:00:00,527.8,528.83,526.1,527.58,1796.53,948199.85
2024-08-03 23:00:00,529.43,529.97,528.09,527.8,2020.56,1069738.45
2024-08-04 00:00:00,531.59,531.71,529.16,529.43,1229.71,653701.84
2024-08-04 01:00:00,529.24,531.91,528.88,531.59,1245.09,658953.99
2024-08-04 02:00:00,529.57,530.48,528.23,529.24,2236.92,1184605.09
2024-08-04 03:00:00,528.2,528.44,527.11,529.57,1499.21,791883.59
2024-08-04 04:00:00,526.67,527.52,526.07,528.2,1460.98,769455.73
2024-08-04 05:00:00,528,528.97,527.58,526.67,621.08,327931.19
2024-08-04 06:00:00,527.8,528.9,527.8,528,776.97,410085.69
2024-08-04 07:00:00,523.37,524.7,522.47,527.8,1910.8,1000063.92
2024-08-04 08:00:00,524.86,526.01,524.14,523.37,1740.52,913534.37
2024-08-04 09:00:00,525.7,527.28,525.64,524.86,1231.62,647464.64
2024-08-04 10:00:00,526.83,527.31,526.58,525.7,802.72,422893.44
2024-08-04 11:00:00,525.54,528.04,525.48,526.83,1148.83,603758.21
2024-08-04 12:00:00,527.19,527.43,526.52,525.54,1024.33,540013.04
2024-08-04 13:00:00,525.01,526.23,524.64,527.19,746.62,391982.53
2024-08-04 14:00:00,508.18,514.13,507.34,525.01,14918.37,7581163.79
2024-08-04 15:00:00,501.45,504.41,498.38,508.18,11486.7,5760057.38
2024-08-04 16:00:00,500.24,500.95,497.78,501.45,5712.54,2857658.31
2024-08-04 17:00:00,494.86,495.27,486.71,500.24,11479.45,5680766.25
2024-08-04 18:00:00,503.39,503.69,498.52,494.86,7062.61,3555271.58
2024-08-04 19:00:00,507.63,509.05,506.27,503.39,4150.86,2107100.39
2024-08-04 20:00:00,506.92,507.93,504.91,507.63,2588.02,1311924.06
2024-08-04 21:00:00,502.08,502.55,500.21,506.92,2532.96,1271742.58
2024-08-04 22:00:00,503.49,504.66,501.72,502.08,4799.26,2416355.95
