time,close,high,low,open,volumefrom,volumeto
2024-08-04 13:00:00,60814.25,61057.29,60814.25,61038.16,502.71,30614589.25
2024-08-04 14:00:00,59554.25,60853.97,59316.78,60814.25,2850.98,170833585.61
2024-08-04 15:00:00,59029.37,59572.73,58934.17,59554.25,2343.09,138826194.84
2024-08-04 16:00:00,58624.52,59267.08,58579.69,59029.37,2045.5,120561782.84
2024-08-04 17:00:00,57831.48,58699.52,57174.97,58624.52,4035.5,234269613.66
2024-08-04 18:00:00,58745.88,58883.92,57721.28,57831.48,2490.13,145247993.09
2024-08-04 19:00:00,59247.18,59466.38,58517.65,58745.88,2021.05,119465627.84
2024-08-04 20:00:00,59130.05,59552.08,58834.17,59247.18,1442.09,85343934.23
2024-08-04 21:00:00,58455.89,59140.26,58351.93,59130.05,1189.03,69816552.76
2024-08-04 22:00:00,58694.93,59105.39,58390.65,58455.89,1378.53,81044512.75
2024-08-04 23:00:00,58135.89,58738.87,57991.09,58694.93,1375.41,80308639.69
2024-08-05 00:00:00,56133.09,58275.19,55721.65,58135.89,5311.53,302432260.49
2024-08-05 01:00:00,54429.92,56254.52,52584.61,56133.09,11351.39,616658273.68
2024-08-05 02:00:00,54687.51,54698.43,53628.49,54429.92,3606.42,195347212.16
2024-08-05 03:00:00,53905.67,54700.62,53827.14,54687.51,2358.96,127983373.92
2024-08-05 04:00:00,53533.25,54563.24,53407.09,53905.67,2579.99,139322082.58
2024-08-05 05:00:00,52710.29,53835.67,52318.9,53533.25,5063.89,268683863.46
2024-08-05 06:00:00,51567.12,52953.34,49202.81,52710.29,11577.03,590229171.89
2024-08-05 07:00:00,52697.4,53086.09,51347.29,51567.12,4618.91,241766117.01
2024-08-05 08:00:00,52755.96,53219.87,52344.73,52697.4,3158.73,166632044.31
2024-08-05 09:00:00,52657.38,52936.54,51773.81,52755.96,2499.85,131360070.07
2024-08-05 10:00:00,51412.04,52657.42,50703.53,52657.38,4301.74,221560342.48
2024-08-05 11:00:00,51368.08,51906.02,50681.76,51412.04,2996.34,153505787.81
2024-08-05 12:00:00,49849.22,51532.72,49605.47,51368.08,6771.97,341448441.77
2024-08-05 13:00:00,51995.43,52487.7,49629.92,49849.22,9374.22,478338568.32
2024-08-05 14:00:00,54083.5,54535.13,51989.55,51995.43,10188.2,544848813.12
2024-08-05 15:00:00,54375.29,55023.39,53573.93,54083.5,5809.8,316260201.37
2024-08-05 16:00:00,54114.09,55565.02,54106.03,54375.29,4258.44,233418686.13
2024-08-05 17:00:00,54754.79,55088.97,53837.12,54114.09,3671.77,200101505.18
2024-08-05 18:00:00,53123.74,54755.87,53038.19,54754.79,4173.33,224746014.18
2024-08-05 19:00:00,53485.26,53619.6,52584.98,53123.74,5847.33,310559550.56
2024-08-05 20:00:00,54395.63,54399.1,53476.37,53485.26,2584.77,139356731.98
2024-08-05 21:00:00,54403.32,55207.91,54306.27,54395.63,1961.1,107263091.13
2024-08-05 22:00:00,54711.33,54986.13,54255.32,54403.32,1717.27,93891659.16
2024-08-05 23:00:00,54031.82,55090.08,53922.36,54711.33,1370.34,74711260.12
2024-08-06 00:00:00,56046.9,56068.01,53987.77,54031.82,2923.37,161899651.69
2024-08-06 01:00:00,55751.37,56293.06,55474.18,56046.9,2311.04,129237777.11
2024-08-06 02:00:00,55882.16,56091.95,55672.14,55751.37,1513.89,84541732.65
2024-08-06 03:00:00,55698.49,55916.61,55510.54,55882.16,1028.95,57336642.66
2024-08-06 04:00:00,55531.83,55781.64,55288.97,55698.49,1339.07,74369880.3
2024-08-06 05:00:00,55969.29,56027.36,55309.49,55531.83,1275.66,71028128.74
2024-08-06 06:00:00,55825.94,56082.42,55594.41,55969.29,1425.6,79631215.71
2024-08-06 07:00:00,56055.25,56185.69,55521.89,55825.94,1004.67,56104913.39
2024-08-06 08:00:00,55032.07,56157.08,54658.86,56055.25,1868.82,103442643.1
