time,close,high,low,open,volumefrom,volumeto
2019-05-05 00:00:00,163.45,164.61,161.6,163.87,3433695.94,561246835.97
2019-05-06 00:00:00,173.08,176.64,161.75,163.45,4488090.88,776787094.64
2019-05-07 00:00:00,168.36,182.44,168.13,173.08,4936028.8,831030599.03
2019-05-08 00:00:00,171.26,174.62,170.36,168.36,3403183.6,582840013.13
2019-05-09 00:00:00,170.41,176.21,168.37,171.26,3943191.45,671950641.49
2019-05-10 00:00:00,172.44,178.6,171.61,170.41,4814615.9,830217078.43
2019-05-11 00:00:00,192.73,205.96,183.95,172.44,7733488.89,1490463311.39
2019-05-12 00:00:00,188.19,190,182.74,192.73,5653948.51,1063997805.21
2019-05-13 00:00:00,196.02,212.41,192.66,188.19,5400982.7,1058688204.43
2019-05-14 00:00:00,217.3,221.53,198.23,196.02,6092824.59,1323964324.4
2019-05-15 00:00:00,248.62,250.34,222.19,217.3,6575907.22,1634933324.11
2019-05-16 00:00:00,264.57,273.23,238.66,248.62,7377066.74,1951751255.6
2019-05-17 00:00:00,244.75,249.84,232.95,264.57,5291707.52,1295140504.82
2019-05-18 00:00:00,234.04,243.12,232.51,244.75,3074321.32,719515504.6
2019-05-19 00:00:00,260.71,265.38,259.15,234.04,3040455.74,792664187.01
2019-05-20 00:00:00,252.43,257.7,248.83,260.71,2923763.43,738034002.31
2019-05-21 00:00:00,254.73,260.06,250.76,252.43,2942581.05,749567073.96
2019-05-22 00:00:00,243.6,248.64,239.94,254.73,2883661.97,702468322.2
2019-05-23 00:00:00,245.51,252.84,242.36,243.6,2881253.44,707377987.09
2019-05-24 00:00:00,249.65,253.09,248.13,245.51,2643933.67,660051716.43
2019-05-25 00:00:00,251.61,256.84,250.4,249.65,2637221.94,663540965.23
2019-05-26 00:00:00,267.98,273.74,263.44,251.61,2870058.04,769125395.58
2019-05-27 00:00:00,271.9,275.77,267.07,267.98,2833209.15,770352433.68
2019-05-28 00:00:00,271.16,274.56,267.49,271.9,2485168.11,673868828.05
2019-05-29 00:00:00,269.38,271.81,267.39,271.16,2113498.34,569336656.47
2019-05-30 00:00:00,254.66,273.94,247.29,269.38,3490610.38,888919581.13
2019-05-31 00:00:00,267.81,268.06,258.74,254.66,2633020,705141146.06
2019-06-01 00:00:00,264.63,274.64,263.95,267.81,2219915.89,587463132.92
2019-06-02 00:00:00,269.3,273.41,268.25,264.63,1620460.57,436393898.24
2019-06-03 00:00:00,249.85,252.36,246.44,269.3,2244046.91,560664230.33
2019-06-04 00:00:00,241,242.38,235.54,249.85,1991928.16,480046287.2
2019-06-05 00:00:00,246.2,248,240.98,241,1662960.5,409428797.44
2019-06-06 00:00:00,249.45,250.46,244.37,246.2,1590101.24,396643045.51
2019-06-07 00:00:00,249.68,256.64,249.2,249.45,1747793.47,436392667.05
2019-06-08 00:00:00,244.52,248.57,244.12,249.68,1453951.11,355518816.28
2019-06-09 00:00:00,231.44,236.56,229.3,244.52,1893756.32,438297331.78
2019-06-10 00:00:00,247.93,249.05,242.39,231.44,1780849.58,441524451.41
2019-06-11 00:00:00,245.28,247.18,243.14,247.93,1759613.13,431595398.61
2019-06-12 00:00:00,262.96,263.13,252.34,245.28,1811579.62,476376751.84
2019-06-13 00:00:00,255.22,265.68,253.9,262.96,1883213.77,480634410.27
2019-06-14 00:00:00,263.77,271.16,262.91,255.22,1963695.67,517973327.36
2019-06-15 00:00:00,269.06,273.22,267.38,263.77,1611323.66,433542241.87
2019-06-16 00:00:00,268.48,273.33,263.81,269.06,2004740.17,538227592.91
2019-06-17 00:00:00,274.01,279.71,271.58,268.48,1940675.55,531768182.12
2019-06-18 00:00:00,264.55,267.55,262.1,274.01,2017150.88,533637693.55
2019-06-19 00:00:00,268.95,273.03,268.3,264.55,1779533.02,478605493.28
2019-06-20 00:00:00,271.9,277.24,267.7,268.95,2190475.73,595580698.66
2019-06-21 00:00:00,295.94,304.73,291.34,271.9,3122681.1,924121483.27
2019-06-22 00:00:00,309.57,317.59,297.6,295.94,3298498.2,1021113047.88
2019-06-23 00:00:00,307.22,319.49,305.49,309.57,2040964.74,627034406.46
2019-06-24 00:00:00,311.1,315.73,309.11,307.22,2098324.67,652783581.27
2019-06-25 00:00:00,316.17,331.19,315.82,311.1,2490224.83,787327800.84
2019-06-26 00:00:00,334.45,356.54,327.09,316.17,4990063.21,1668946361.31
2019-06-27 00:00:00,293.91,304.51,286.44,334.45,4621483.37,1358301432.01
2019-06-28 00:00:00,309.62,334.45,308.51,293.91,3471024.97,1074691127.45
2019-06-29 00:00:00,317.78,321.7,297.1,309.62,3056919.35,971430380.51
2019-06-30 00:00:00,290.55,291.52,280.86,317.78,3031844.46,880899282.02
2019-07-01 00:00:00,294.14,296.25,282.38,290.55,2999260.81,882191267.14
2019-07-02 00:00:00,291.6,306.78,288.02,294.14,2799184.46,816238425.59
2019-07-03 00:00:00,302.18,322.31,301.94,291.6,2711953.93,819487944.53
2019-07-04 00:00:00,282.93,285.27,277.35,302.18,2279751.32,645008552.75
2019-07-05 00:00:00,288.02,290.33,276.81,282.93,2373874.37,683730773.75
2019-07-06 00:00:00,287.97,294.83,285.05,288.02,2072399.95,596794948.95
2019-07-07 00:00:00,306.48,310.49,293.4,287.97,1928737.3,591115586.49
2019-07-08 00:00:00,313.18,331.01,310.6,306.48,2214926.34,693677708.29
2019-07-09 00:00:00,308.14,320.08,306.51,313.18,2845152.84,876714871.61
2019-07-10 00:00:00,288.81,296.79,278.52,308.14,3724564.02,1075676415.5
2019-07-11 00:00:00,268.49,274.84,261.69,288.81,3115104.38,836379516.15
2019-07-12 00:00:00,275.47,283.84,273.82,268.49,2573134,708817593.57
2019-07-13 00:00:00,268.99,276.37,264.44,275.47,2212539.02,595140184.21
2019-07-14 00:00:00,226.64,245.62,225.11,268.99,3941740.01,893355743.41
2019-07-15 00:00:00,228.18,241.31,224.82,226.64,4047278.66,923511961.6
2019-07-16 00:00:00,198.65,201.66,190.92,228.18,3819409.66,758710891.32
