time,close,high,low,open,volumefrom,volumeto
2024-08-04 13:00:00,0.4492,0.4526,0.4492,0.4525,92025.22,41446.32
2024-08-04 14:00:00,0.4344,0.4494,0.4341,0.4492,1650148.65,723395.25
2024-08-04 15:00:00,0.4284,0.4347,0.4273,0.4344,1685407.85,724248.58
2024-08-04 16:00:00,0.4216,0.4298,0.4208,0.4284,1150326.48,488437.09
2024-08-04 17:00:00,0.4165,0.422,0.4093,0.4216,2412080.05,1003686.35
2024-08-04 18:00:00,0.4216,0.4223,0.4125,0.4165,1213749.23,505799.12
2024-08-04 19:00:00,0.4275,0.4295,0.419,0.4216,1234617.2,525028.35
2024-08-04 20:00:00,0.4292,0.4321,0.4258,0.4275,913656.65,392022.59
2024-08-04 21:00:00,0.4265,0.4294,0.4255,0.4292,278923.34,119217.48
2024-08-04 22:00:00,0.4262,0.4295,0.4254,0.4265,392207.06,167643.49
2024-08-04 23:00:00,0.4213,0.4267,0.4204,0.4262,591891.44,250104.95
2024-08-05 00:00:00,0.4018,0.4242,0.3984,0.4213,3049733.82,1244467.37
2024-08-05 01:00:00,0.3781,0.4023,0.3662,0.4018,10152030.57,3856096.21
2024-08-05 02:00:00,0.3776,0.3792,0.3678,0.3781,3358777.21,1253668.92
2024-08-05 03:00:00,0.3671,0.3776,0.3667,0.3776,2722028.72,1005843.45
2024-08-05 04:00:00,0.3689,0.3737,0.3649,0.3671,2091482.71,770937.48
2024-08-05 05:00:00,0.3632,0.372,0.3555,0.3689,2439701.26,891563.65
2024-08-05 06:00:00,0.3539,0.3649,0.3457,0.3632,8280865.92,2889249.17
2024-08-05 07:00:00,0.3696,0.3738,0.35,0.3539,3202873.43,1150130.16
2024-08-05 08:00:00,0.3644,0.3697,0.3608,0.3696,1670437.79,609330.98
2024-08-05 09:00:00,0.3654,0.3668,0.3601,0.3644,922320.21,336002.63
2024-08-05 10:00:00,0.359,0.3664,0.3546,0.3654,2704583.34,971067
2024-08-05 11:00:00,0.36,0.3606,0.347,0.359,3007258.31,1063573.88
2024-08-05 12:00:00,0.3524,0.3632,0.3511,0.36,2331781.9,832147.21
2024-08-05 13:00:00,0.3726,0.3738,0.3479,0.3524,3261372.5,1172384.69
2024-08-05 14:00:00,0.377,0.383,0.3724,0.3726,3748159.33,1417422.97
2024-08-05 15:00:00,0.3847,0.3862,0.3742,0.377,2671079.13,1015981.13
2024-08-05 16:00:00,0.3841,0.3922,0.3834,0.3847,2326569.21,901024.32
2024-08-05 17:00:00,0.3873,0.39,0.3778,0.3841,2427824.46,931454.93
2024-08-05 18:00:00,0.3766,0.3876,0.3764,0.3873,810942.56,310422.81
2024-08-05 19:00:00,0.381,0.3822,0.3751,0.3766,1277142.37,484670.97
2024-08-05 20:00:00,0.3844,0.3876,0.381,0.381,1255431.65,482598.08
2024-08-05 21:00:00,0.3842,0.3892,0.382,0.3844,861969.01,333116.11
2024-08-05 22:00:00,0.3882,0.3896,0.3842,0.3842,591261.52,229123.12
2024-08-05 23:00:00,0.3845,0.3904,0.3844,0.3882,633442.5,245085.01
2024-08-06 00:00:00,0.4026,0.4026,0.3842,0.3845,1449670.48,571752.92
2024-08-06 01:00:00,0.4025,0.4069,0.3999,0.4026,1832535.81,739528.48
2024-08-06 02:00:00,0.4039,0.4046,0.401,0.4025,647088.21,260814.51
2024-08-06 03:00:00,0.4029,0.4046,0.4018,0.4039,534676.24,215690.94
2024-08-06 04:00:00,0.4087,0.409,0.4015,0.4029,485227.72,196541.87
2024-08-06 05:00:00,0.4117,0.412,0.4073,0.4087,1437168.83,589039.61
2024-08-06 06:00:00,0.4133,0.4152,0.4107,0.4117,892603.92,368475.92
2024-08-06 07:00:00,0.4145,0.4154,0.412,0.4133,578926.64,239420.93
