time,close,high,low,open,volumefrom,volumeto
2024-08-04 13:00:00,1.409e-05,1.422e-05,1.409e-05,1.42e-05,10071745662.9,142290.7
2024-08-04 14:00:00,1.365e-05,1.409e-05,1.359e-05,1.409e-05,149433203736.7,2052531.8
2024-08-04 15:00:00,1.344e-05,1.365e-05,1.341e-05,1.365e-05,94959733910.94,1283400.78
2024-08-04 16:00:00,1.313e-05,1.357e-05,1.311e-05,1.344e-05,277313459331.21,3702994.91
2024-08-04 17:00:00,1.321e-05,1.33e-05,1.296e-05,1.313e-05,287753304107.4,3782978.41
2024-08-04 18:00:00,1.343e-05,1.345e-05,1.31e-05,1.321e-05,189341243198.47,2509630.65
2024-08-04 19:00:00,1.366e-05,1.378e-05,1.332e-05,1.343e-05,128765711845.47,1756030.77
2024-08-04 20:00:00,1.363e-05,1.38e-05,1.353e-05,1.366e-05,60984916935.89,834026.52
2024-08-04 21:00:00,1.349e-05,1.364e-05,1.345e-05,1.363e-05,45816340619.51,620300.86
2024-08-04 22:00:00,1.351e-05,1.365e-05,1.342e-05,1.349e-05,80667425406.44,1093123.21
2024-08-04 23:00:00,1.334e-05,1.351e-05,1.33e-05,1.351e-05,54975564444.88,735781.98
2024-08-05 00:00:00,1.277e-05,1.34e-05,1.264e-05,1.334e-05,308332498698.85,4011608.11
2024-08-05 01:00:00,1.207e-05,1.279e-05,1.158e-05,1.277e-05,1126698242209.18,13772944.31
2024-08-05 02:00:00,1.219e-05,1.22e-05,1.171e-05,1.207e-05,466335448255,5587748.25
2024-08-05 03:00:00,1.202e-05,1.221e-05,1.188e-05,1.219e-05,227453285208.41,2739099.9
2024-08-05 04:00:00,1.209e-05,1.227e-05,1.2e-05,1.202e-05,133322953707.53,1615528.95
2024-08-05 05:00:00,1.177e-05,1.212e-05,1.162e-05,1.209e-05,360282601873.01,4280034.05
2024-08-05 06:00:00,1.133e-05,1.184e-05,1.08e-05,1.177e-05,603303223337.56,6794833.15
2024-08-05 07:00:00,1.194e-05,1.208e-05,1.127e-05,1.133e-05,200292228150.49,2342077.2
