time,close,high,low,open,volumefrom,volumeto
2024-08-04 13:00:00,143.63,145.04,143.63,144.87,27726.98,4001574.31
2024-08-04 14:00:00,137.7,143.85,137.31,143.63,233772.17,32521410.07
2024-08-04 15:00:00,135.09,137.7,134.9,137.7,291349.16,39664577.9
2024-08-04 16:00:00,133.11,136.67,132.64,135.09,176263.83,23733426.15
2024-08-04 17:00:00,134.95,135.78,131.31,133.11,386744.95,51496160.68
2024-08-04 18:00:00,139.02,140.07,134.45,134.95,313147.25,43083900.61
2024-08-04 19:00:00,141.99,142.86,138.16,139.02,235036.95,33105228.49
2024-08-04 20:00:00,142.66,143.88,141.09,141.99,107088.14,15256974.94
2024-08-04 21:00:00,140.36,142.76,140.03,142.66,105232.62,14868209.24
2024-08-04 22:00:00,140.66,142.61,139.89,140.36,80016.38,11308309.25
2024-08-04 23:00:00,138.24,140.8,137.31,140.66,111335.83,15432754.76
2024-08-05 00:00:00,131.39,139.24,130.03,138.24,465853.68,62539041.88
2024-08-05 01:00:00,130.99,133.56,121.89,131.39,1023691.07,131602615.09
2024-08-05 02:00:00,130.99,131.33,125.43,130.99,428386.57,55114656.96
2024-08-05 03:00:00,126.1,131.02,125.95,130.99,213495.72,27483065.63
2024-08-05 04:00:00,123.89,130.05,123.28,126.1,301201.42,37984518.57
2024-08-05 05:00:00,118.58,124.05,113.7,123.89,688969.62,82150457.67
2024-08-05 06:00:00,117.58,120,110.02,118.58,810400.27,93402966.64
2024-08-05 07:00:00,122.95,124.29,116.57,117.58,474929.5,57607059.14
2024-08-05 08:00:00,120.84,123.92,119.51,122.95,286260.13,34802227.79
2024-08-05 09:00:00,119.97,122.25,117.95,120.84,213775.29,25703521.26
2024-08-05 10:00:00,116,120.26,115.1,119.97,317973.69,37219669.37
2024-08-05 11:00:00,116.03,116.92,110.56,116,528884.43,59993866.82
2024-08-05 12:00:00,111.82,118.65,111.61,116.03,443956.3,50825420.53
2024-08-05 13:00:00,122.67,123.67,110.07,111.82,711941.13,83560081.32
2024-08-05 14:00:00,129.39,132.46,122.64,122.67,740511.02,94715701.55
2024-08-05 15:00:00,130.53,132.8,127.84,129.39,424312.49,55463192.88
2024-08-05 16:00:00,131.31,135.54,130.14,130.53,433085.13,57557055.36
2024-08-05 17:00:00,134.51,135.36,130.69,131.31,240700.62,31991850.93
2024-08-05 18:00:00,128.56,134.56,128.43,134.51,203064.83,26620093.98
2024-08-05 19:00:00,128.74,130.53,126.79,128.56,338228.68,43426187.32
2024-08-05 20:00:00,131.91,132.37,128.41,128.74,226548.98,29644087.77
2024-08-05 21:00:00,131.37,135.23,130.38,131.91,220543.99,29294711.35
2024-08-05 22:00:00,132.52,134.17,130.87,131.37,141897.36,18782903.33
2024-08-05 23:00:00,129.81,134.62,129.57,132.52,94997.25,12470867.4
2024-08-06 00:00:00,138.94,138.99,129.44,129.81,327644.37,44745034.23
2024-08-06 01:00:00,138.66,140.63,137.32,138.94,221956.76,30901447.4
2024-08-06 02:00:00,139.53,141.17,138.39,138.66,138974.09,19423222.12
2024-08-06 03:00:00,138.71,139.8,137.63,139.53,87474.92,12135778.73
2024-08-06 04:00:00,141.23,141.25,137.63,138.71,131035.89,18319527.24
2024-08-06 05:00:00,143.25,143.45,139.45,141.23,122163.39,17301120.73
2024-08-06 06:00:00,141.63,144.07,141.59,143.25,113009.13,16123718.56
2024-08-06 07:00:00,142.1,142.49,140.18,141.63,62138.23,8779789.23
2024-08-06 08:00:00,137.57,142.14,136.71,142.1,117524.74,16315605.97
2024-08-06 09:00:00,138.93,139.39,136.51,137.57,98773.48,13618073.34
2024-08-06 10:00:00,139.22,139.79,137.9,138.93,68539.06,9516774.99
2024-08-06 11:00:00,139.59,141.01,138.1,139.22,97067.05,13529414.31
2024-08-06 12:00:00,137.89,140.55,137.65,139.59,120086.13,16690228.15
2024-08-06 13:00:00,138.98,140.54,136.19,137.89,172478.41,23815196.8
2024-08-06 14:00:00,144.91,146.32,138.8,138.98,337257.58,48512831.2
2024-08-06 15:00:00,145.96,146.36,143.83,144.91,115585.02,16764419.6
2024-08-06 16:00:00,147.55,147.99,145.05,145.96,176552.64,25859603.79
2024-08-06 17:00:00,145.27,148.47,145.22,147.55,163517.61,24072521.66
2024-08-06 18:00:00,146.17,147.79,145.18,145.27,84287.11,12371145.22
2024-08-06 19:00:00,146.44,147.86,145.23,146.17,105860.44,15510890.86
2024-08-06 20:00:00,147.38,147.89,145.21,146.44,118233.18,17320566.8
2024-08-06 21:00:00,147.36,147.65,145.99,147.38,80905.25,11882492.34
2024-08-06 22:00:00,145.18,149.54,144.74,147.36,195088.09,28711902.84
2024-08-06 23:00:00,144.51,145.97,143.36,145.18,102093.43,14713270.51
2024-08-07 00:00:00,144.88,146.02,142.71,144.51,107024.52,15458434.65
2024-08-07 01:00:00,149.16,149.19,142.47,144.88,171081.12,25048658.28
2024-08-07 02:00:00,149.49,151.8,147.82,149.16,174301.38,26093257.87
2024-08-07 03:00:00,151.72,151.77,149.14,149.49,122011.22,18352043.79
2024-08-07 04:00:00,153.52,154.65,151.38,151.72,208910.84,32078724.29
2024-08-07 05:00:00,153.36,155.05,152.99,153.52,148703.57,22935711.43
2024-08-07 06:00:00,152.04,154.02,151.77,153.36,53346.89,8154658.34
2024-08-07 07:00:00,152.51,153.27,150.65,152.04,60760.14,9225034.66
2024-08-07 08:00:00,153.89,154.51,152.14,152.51,61717.37,9456720.15
2024-08-07 09:00:00,152.97,154.93,152.83,153.89,78557.49,12088810.97
2024-08-07 10:00:00,152.61,154.55,152.46,152.97,148770.44,22865479.72
2024-08-07 11:00:00,151.74,152.87,150.85,152.61,93676.32,14208372.14
2024-08-07 12:00:00,153.36,153.77,151.02,151.74,104681.71,15936285.21
2024-08-07 13:00:00,152.04,154.58,151.36,153.36,128409.47,19645137.37
2024-08-07 14:00:00,147.14,152.77,146.5,152.04,273875.82,40791992.73
2024-08-07 15:00:00,148.42,149.08,146.32,147.14,171154.22,25296155.88
2024-08-07 16:00:00,147.97,149.44,146.47,148.42,191359.93,28284093.59
2024-08-07 17:00:00,146.05,148.4,145.39,147.97,129055.45,18945028.98
2024-08-07 18:00:00,143.6,146.42,143.26,146.05,170310.22,24665091.08
2024-08-07 19:00:00,143.16,144.89,142.36,143.6,115739.06,16577884.25
2024-08-07 20:00:00,144.78,145.9,142.37,143.16,152837.68,22034100.91
2024-08-07 21:00:00,146.48,147.54,144.17,144.78,101317.8,14791337.35
2024-08-07 22:00:00,145.82,146.65,142.55,146.48,130608.95,18850755.13
2024-08-07 23:00:00,144.71,146.81,144.13,145.82,65020.79,9458697.54
2024-08-08 00:00:00,144.1,145.88,141.45,144.71,107531.05,15400280.82
2024-08-08 01:00:00,152.78,153.05,143.51,144.1,268704.62,40029312.68
2024-08-08 02:00:00,154.9,155.5,152.75,152.78,207212.67,32004717.59
2024-08-08 03:00:00,153.1,156.32,153.09,154.9,173896.4,26938869.33
2024-08-08 04:00:00,151.78,154.38,151.46,153.1,152716.06,23389672.68
2024-08-08 05:00:00,152.99,153.6,151.65,151.78,31841.78,4868179.61
2024-08-08 06:00:00,154.23,154.71,151.98,152.99,66771.33,10275445.91
2024-08-08 07:00:00,153.65,155.54,153.57,154.23,224022.79,34661049.03
2024-08-08 08:00:00,154.74,154.92,153.52,153.65,65557.32,10120307.85
2024-08-08 09:00:00,154.45,155.67,153.99,154.74,48258.03,7473807.03
2024-08-08 10:00:00,153.95,154.65,153.06,154.45,38923.48,5987740.8
2024-08-08 11:00:00,154.2,155.09,153.5,153.95,47740.25,7374014.53
2024-08-08 12:00:00,155.78,158.61,152.63,154.2,203466.14,31729429.28
2024-08-08 13:00:00,154.17,157.98,152.97,155.78,157928.86,24555778.81
2024-08-08 14:00:00,159.68,160.65,153.91,154.17,342528.25,54376568.01
2024-08-08 15:00:00,160.65,160.74,158.53,159.68,152724.07,24386148.1
2024-08-08 16:00:00,159.1,162.86,159.05,160.65,226791.86,36514931.07
2024-08-08 17:00:00,157.06,159.39,156.73,159.1,155947.41,24631268.82
2024-08-08 18:00:00,157.02,158.01,156.49,157.06,74658.57,11733255.39
2024-08-08 19:00:00,155.88,157.32,155.26,157.02,104593.35,16343915.21
2024-08-08 20:00:00,155.87,156.53,155.46,155.88,115274.69,17968131.31
2024-08-08 21:00:00,160.47,160.8,155.86,155.87,145458.69,23083171.06
2024-08-08 22:00:00,161.47,162.23,157.87,160.47,192954.72,30812038.24
2024-08-08 23:00:00,163.18,163.66,160.54,161.47,172702.27,28021666.12
2024-08-09 00:00:00,161.28,163.56,161.01,163.18,92628.83,15020511.03
2024-08-09 01:00:00,160.35,161.92,160.17,161.28,106268.42,17116935.12
2024-08-09 02:00:00,158.4,160.92,158.36,160.35,203200.29,32462947.73
2024-08-09 03:00:00,158.95,160.27,158.31,158.4,115275.05,18347576.55
2024-08-09 04:00:00,156.04,159.52,155.1,158.95,178451.25,28029571.69
2024-08-09 05:00:00,157.18,157.52,155.72,156.04,57343.91,8987887.49
2024-08-09 06:00:00,157.39,158.09,156.2,157.18,44309.74,6967650.1
2024-08-09 07:00:00,157.96,159.05,157.36,157.39,29144.44,4610799.16
2024-08-09 08:00:00,159.34,159.64,157.84,157.96,45422.09,7206785.95
2024-08-09 09:00:00,157.46,159.53,156.95,159.34,34326.04,5428271.27
2024-08-09 10:00:00,156.18,157.54,155.39,157.46,108917.33,17028010.9
2024-08-09 11:00:00,156.7,156.93,155.47,156.18,33358.78,5215060.26
2024-08-09 12:00:00,155.35,156.76,154.47,156.7,66216.63,10295645.56
2024-08-09 13:00:00,155.35,155.84,153.19,155.35,98628.28,15231679.33
2024-08-09 14:00:00,153.75,157.33,151.72,155.35,188817.9,29080769.82
2024-08-09 15:00:00,151.16,154.38,151.16,153.75,176001.68,26856391.38
2024-08-09 16:00:00,152.56,152.74,150.84,151.16,135493.84,20580709.56
2024-08-09 17:00:00,153.09,154.27,152.11,152.56,86390.12,13239488.28
2024-08-09 18:00:00,153.45,153.67,151.65,153.09,50153.97,7659304.67
2024-08-09 19:00:00,153.66,154.34,152.86,153.45,68100.94,10470032.22
2024-08-09 20:00:00,153.34,154.55,153.03,153.66,48787.9,7496068.73
2024-08-09 21:00:00,154.23,154.28,151.54,153.34,74663.65,11400114.08
2024-08-09 22:00:00,155.8,155.83,152.48,154.23,84097.31,12984753.28
2024-08-09 23:00:00,156.32,157.31,153.99,155.8,109298.67,17027353.65
2024-08-10 00:00:00,154.93,158.77,154.59,156.32,217947.73,34156663.68
2024-08-10 01:00:00,154.7,156.47,153.83,154.93,37521.72,5814713.56
2024-08-10 02:00:00,154.39,156.22,154.34,154.7,21166.56,3283914.27
2024-08-10 03:00:00,154.2,154.67,153.41,154.39,59640.14,9186399.24
2024-08-10 04:00:00,153.56,154.27,152.67,154.2,35068.53,5379985.09
2024-08-10 05:00:00,154.06,154.53,153.03,153.56,15774.57,2425610.49
2024-08-10 06:00:00,154.62,154.98,153.97,154.06,11216.01,1733611.75
2024-08-10 07:00:00,155.45,155.45,154.26,154.62,14528.85,2248056.91
2024-08-10 08:00:00,154.14,155.85,153.95,155.45,24227.12,3748059.2
2024-08-10 09:00:00,154.8,155.55,153.63,154.14,23896.61,3697049.75
2024-08-10 10:00:00,154.45,155.35,154.31,154.8,26054.68,4033267.5
2024-08-10 11:00:00,154.84,155.11,154,154.45,16713.51,2583857.26
2024-08-10 12:00:00,154.56,155.24,154.46,154.84,18948.49,2933849.84
2024-08-10 13:00:00,153.02,154.59,152.92,154.56,25415.89,3905000.38
2024-08-10 14:00:00,153.7,153.92,152.88,153.02,25678.63,3941971.65
2024-08-10 15:00:00,154.03,155.11,153.47,153.7,30655.62,4735674.94
2024-08-10 16:00:00,153.6,154.36,153.07,154.03,31243.96,4797012.22
2024-08-10 17:00:00,154.36,154.46,153.21,153.6,18024.52,2770708.48
2024-08-10 18:00:00,154.1,155.11,154.07,154.36,28195.1,4360195.17
2024-08-10 19:00:00,154.55,155.33,153.61,154.1,17351.12,2680360.65
2024-08-10 20:00:00,154.52,154.94,153.82,154.55,14751.22,2275952.65
2024-08-10 21:00:00,154.96,155.14,154.46,154.52,28785.8,4459328.21
2024-08-10 22:00:00,154.71,155.16,154.51,154.96,23601.7,3654297.32
2024-08-10 23:00:00,154.05,154.71,153.72,154.71,13237.04,2038455.32
2024-08-11 00:00:00,154.74,155.07,153.74,154.05,22622.63,3497733.69
2024-08-11 01:00:00,155.23,155.34,154.31,154.74,12357.02,1913257.71
2024-08-11 02:00:00,154.85,155.52,154.62,155.23,12707.28,1971507.61
2024-08-11 03:00:00,155.72,156.97,154.82,154.85,46170.53,7216683.02
2024-08-11 04:00:00,155.03,156.02,154.87,155.72,19800.93,3075105.38
2024-08-11 05:00:00,155.61,155.86,154.89,155.03,8272.62,1284923.35
2024-08-11 06:00:00,155.56,155.86,155.13,155.61,10500.85,1633113.34
2024-08-11 07:00:00,156.69,156.84,155.56,155.56,10719.26,1675431.74
2024-08-11 08:00:00,156.48,157.19,156.36,156.69,13952.75,2187797.87
2024-08-11 09:00:00,155.68,157.99,155.25,156.48,32086.75,5035426.61
2024-08-11 10:00:00,155.25,156.23,155.02,155.68,14274.69,2221679.97
2024-08-11 11:00:00,153.74,155.31,153.11,155.25,30972.89,4766407.75
2024-08-11 12:00:00,151.59,153.81,150.78,153.74,64388.5,9776595.94
2024-08-11 13:00:00,151.59,151.91,149.88,151.59,79917.33,12044964.6
2024-08-11 14:00:00,149.31,151.7,148.6,151.59,131036.17,19688094.6
2024-08-11 15:00:00,148.76,149.43,148.06,149.31,118453.55,17606049.6
2024-08-11 16:00:00,148.76,149.34,148.22,148.76,34467.24,5130056.43
2024-08-11 17:00:00,149.16,149.8,148.14,148.76,25149.84,3744832.89
2024-08-11 18:00:00,148.01,149.24,147.16,149.16,55700.32,8230072.24
2024-08-11 19:00:00,145.77,148.01,145.65,148.01,129671.81,18970277.1
2024-08-11 20:00:00,143.94,145.84,143.87,145.77,186565.54,27044738.28
2024-08-11 21:00:00,143.53,144.27,143.16,143.94,129156.68,18573893.27
2024-08-11 22:00:00,142.25,144.35,141.26,143.53,142805.05,20362854.83
2024-08-11 23:00:00,141.57,142.25,141.26,142.25,65984.86,9351500.66
2024-08-12 00:00:00,142.76,143.84,141.27,141.57,95427.58,13604516.69
2024-08-12 01:00:00,143.53,144.18,142.32,142.76,49303.77,7064659
2024-08-12 02:00:00,144.3,144.46,142.8,143.53,24527.09,3516185.78
2024-08-12 03:00:00,143.95,144.81,143.23,144.3,36469.31,5254961.77
2024-08-12 04:00:00,143.56,144.41,143.44,143.95,19630.17,2825104.81
2024-08-12 05:00:00,143.23,143.92,142.3,143.56,38920.09,5575224.09
2024-08-12 06:00:00,143.53,143.69,142.39,143.23,17351.66,2480332.81
2024-08-12 07:00:00,146,146.76,142.28,143.53,78848.88,11447168.83
2024-08-12 08:00:00,144.94,147.98,144.43,146,83690,12281706.29
2024-08-12 09:00:00,144.37,145.77,144.2,144.94,73595.38,10683129.98
2024-08-12 10:00:00,147.49,147.49,143.66,144.37,96335.97,14050591.02
2024-08-12 11:00:00,150.34,150.97,147.2,147.49,174317.12,26070702.03
