time,close,high,low,open,volumefrom,volumeto
2024-08-04 13:00:00,6.179,6.185,6.072,6.122,4654.43,28758.46
2024-08-04 14:00:00,6.042,6.183,6.041,6.182,3170.06,19319.54
2024-08-04 15:00:00,5.956,6.003,5.95,6.045,7556.84,45009.02
2024-08-04 16:00:00,5.892,5.968,5.862,5.905,15399.21,91346.34
2024-08-04 17:00:00,5.842,5.896,5.761,5.892,4076.55,23766.78
2024-08-04 18:00:00,6.077,6.14,5.821,5.842,12144.96,72438.28
2024-08-04 19:00:00,6.088,6.167,6.045,6.077,6908.23,42259.41
2024-08-04 20:00:00,6.072,6.122,6.042,6.088,8037.3,48786.2
2024-08-04 21:00:00,6.033,6.074,6.027,6.12,3741.85,22573.26
2024-08-04 22:00:00,6.063,6.104,6.022,6.033,4689.96,28436.1
2024-08-04 23:00:00,6.01,6.054,6.006,6.054,2792.89,16818.78
2024-08-05 00:00:00,5.863,6.039,5.841,6.01,7129.4,42492.78
2024-08-05 01:00:00,5.572,5.872,5.121,5.863,12407.21,68540.43
2024-08-05 02:00:00,5.42,5.574,5.305,5.572,8978.41,48484.96
2024-08-05 03:00:00,5.372,5.424,5.352,5.42,18465.37,99448.08
2024-08-05 04:00:00,5.307,5.422,5.301,5.372,13522.64,72456.83
2024-08-05 05:00:00,5.222,5.317,5.184,5.307,12054.63,63482.59
2024-08-05 06:00:00,5.072,5.247,4.841,5.222,15399.96,77849.02
2024-08-05 07:00:00,5.249,5.266,5.039,5.072,11497.72,59564.85
2024-08-05 08:00:00,5.279,5.316,5.213,5.249,4185.7,22047.79
2024-08-05 09:00:00,5.297,5.324,5.287,5.297,5104.88,27042.25
2024-08-05 10:00:00,5.177,5.187,5.162,5.297,4592.91,23778.38
2024-08-05 11:00:00,5.107,5.158,5.024,5.158,4064.58,20714.69
2024-08-05 12:00:00,4.934,5.162,4.932,5.107,13009.9,65450.22
2024-08-05 13:00:00,5.14,5.177,4.847,4.934,8238.67,41037.13
2024-08-05 14:00:00,5.325,5.409,5.14,5.14,6723.63,35482.8
2024-08-05 15:00:00,5.377,5.392,5.26,5.325,4901.91,26219.23
2024-08-05 16:00:00,5.333,5.485,5.33,5.377,8471.64,45649.94
2024-08-05 17:00:00,5.341,5.371,5.298,5.333,3593.75,19199.67
2024-08-05 18:00:00,5.179,5.344,5.177,5.341,4494.66,23617.12
2024-08-05 19:00:00,5.281,5.291,5.162,5.179,8339.94,43691.44
2024-08-05 20:00:00,5.353,5.381,5.344,5.272,4119.27,22050.76
2024-08-05 21:00:00,5.301,5.359,5.291,5.353,6163.88,32671.74
2024-08-05 22:00:00,5.363,5.363,5.324,5.301,3807.97,20423.48
2024-08-05 23:00:00,5.291,5.308,5.253,5.363,4324.27,22878.83
2024-08-06 00:00:00,5.489,5.506,5.437,5.291,4502.37,24712.04
2024-08-06 01:00:00,5.456,5.506,5.439,5.465,4701.9,25704.71
2024-08-06 02:00:00,5.488,5.495,5.476,5.467,4456.73,24456.88
2024-08-06 03:00:00,5.467,5.481,5.462,5.488,4994.63,27307.46
2024-08-06 04:00:00,5.461,5.474,5.451,5.467,3250.79,17752.56
2024-08-06 05:00:00,5.544,5.558,5.499,5.461,3739.76,20732.33
2024-08-06 06:00:00,5.529,5.588,5.506,5.544,3985.42,22035.39
2024-08-06 07:00:00,5.571,5.573,5.52,5.555,2650.47,14702.43
2024-08-06 08:00:00,5.454,5.59,5.432,5.571,4180.2,22962.07
2024-08-06 09:00:00,5.473,5.607,5.396,5.466,4454.15,24378.37
2024-08-06 10:00:00,5.508,5.602,5.423,5.473,4375.33,24100.28
2024-08-06 11:00:00,5.483,5.552,5.454,5.508,4202.03,23041.3
2024-08-06 12:00:00,5.456,5.466,5.439,5.483,3894.66,21249.41
2024-08-06 13:00:00,5.544,5.566,5.479,5.456,4517.3,25045.03
2024-08-06 14:00:00,5.619,5.657,5.512,5.514,2047.92,11468.36
2024-08-06 15:00:00,5.699,5.71,5.659,5.637,3774.5,21510.15
2024-08-06 16:00:00,5.721,5.761,5.704,5.699,3381.27,19343.4
2024-08-06 17:00:00,5.76,5.8,5.687,5.721,4114.59,23700.74
2024-08-06 18:00:00,5.789,5.8,5.771,5.76,4792.58,27741.89
2024-08-06 19:00:00,5.805,5.822,5.776,5.789,3863.07,22424.27
2024-08-06 20:00:00,5.793,5.827,5.731,5.805,4633.59,26843.46
2024-08-06 21:00:00,5.79,5.824,5.75,5.793,4390.62,25421.35
2024-08-06 22:00:00,5.735,5.82,5.735,5.79,4635.99,26589.27
2024-08-06 23:00:00,5.746,5.785,5.718,5.735,4195.71,24108.18
2024-08-07 00:00:00,5.724,5.756,5.693,5.755,4861.58,27760.88
2024-08-07 01:00:00,5.778,5.846,5.778,5.748,4144.89,23949.53
2024-08-07 02:00:00,5.81,5.816,5.753,5.778,4228.22,24565.74
2024-08-07 03:00:00,5.833,5.833,5.793,5.81,4118.23,24021.74
2024-08-07 04:00:00,5.824,5.858,5.744,5.833,4517.09,26305.4
