time,close,high,low,open,volumefrom,volumeto
2024-08-03 03:00:00,0.4711,0.4712,0.4661,0.4664,429443.36,201264.76
2024-08-03 04:00:00,0.4675,0.4719,0.4675,0.4711,664546.48,311714.82
2024-08-03 05:00:00,0.4705,0.4708,0.4673,0.4675,240126.49,112504
2024-08-03 06:00:00,0.4713,0.4714,0.469,0.4705,253397.97,119127.41
2024-08-03 07:00:00,0.4722,0.4732,0.4708,0.4713,159049.28,75069.14
2024-08-03 08:00:00,0.4698,0.4727,0.4674,0.4722,321899.19,151271.99
2024-08-03 09:00:00,0.4715,0.4715,0.4682,0.4698,178992.13,84110.22
2024-08-03 10:00:00,0.4714,0.4726,0.4704,0.4715,109978.59,51839.15
2024-08-03 11:00:00,0.4714,0.4721,0.4702,0.4714,174578.31,82259.75
2024-08-03 12:00:00,0.4704,0.4727,0.4702,0.4714,378326.84,178483.02
2024-08-03 13:00:00,0.4695,0.4707,0.4683,0.4704,158545.81,74464.27
2024-08-03 14:00:00,0.4682,0.4713,0.4678,0.4695,281982.92,132502.47
2024-08-03 15:00:00,0.4601,0.4692,0.4597,0.4682,432545.53,200783.59
2024-08-03 16:00:00,0.456,0.4607,0.4527,0.4601,796252.73,363376.6
2024-08-03 17:00:00,0.4482,0.4562,0.447,0.456,1149456.11,517264.07
2024-08-03 18:00:00,0.4455,0.4503,0.4437,0.4482,727354.45,325228.68
2024-08-03 19:00:00,0.4436,0.4489,0.4434,0.4455,950737.55,424137.35
2024-08-03 20:00:00,0.4454,0.4487,0.442,0.4436,403284.72,179746.07
2024-08-03 21:00:00,0.4515,0.4518,0.4426,0.4454,785674.82,352209.18
2024-08-03 22:00:00,0.4522,0.4539,0.4502,0.4515,336288.43,152080.91
2024-08-03 23:00:00,0.4546,0.455,0.4507,0.4522,357851.1,162117.22
2024-08-04 00:00:00,0.4555,0.4559,0.4524,0.4546,272634.18,123718.5
2024-08-04 01:00:00,0.4541,0.4555,0.4515,0.4555,195924.67,88897.05
2024-08-04 02:00:00,0.4558,0.4578,0.4539,0.4541,227736,103910.52
2024-08-04 03:00:00,0.4564,0.4573,0.4557,0.4558,115101.5,52548.48
2024-08-04 04:00:00,0.4539,0.4573,0.4538,0.4564,117674.96,53592.78
2024-08-04 05:00:00,0.4551,0.4569,0.4539,0.4539,138244.58,62957.31
2024-08-04 06:00:00,0.4549,0.4558,0.4543,0.4551,86741.15,39470.28
2024-08-04 07:00:00,0.4495,0.4551,0.4495,0.4549,122683.31,55389.69
2024-08-04 08:00:00,0.4521,0.4539,0.4483,0.4495,200014.3,90282.7
2024-08-04 09:00:00,0.4517,0.4531,0.4514,0.4521,152310.58,68892.91
2024-08-04 10:00:00,0.4514,0.4518,0.4494,0.4517,67612.52,30452.15
2024-08-04 11:00:00,0.451,0.4527,0.4504,0.4514,153728.38,69400.13
2024-08-04 12:00:00,0.4525,0.4526,0.4499,0.451,90303.24,40729.35
2024-08-04 13:00:00,0.4492,0.4526,0.4492,0.4525,92025.22,41446.32
2024-08-04 14:00:00,0.4344,0.4494,0.4341,0.4492,1650148.65,723395.25
2024-08-04 15:00:00,0.4284,0.4347,0.4273,0.4344,1685407.85,724248.58
2024-08-04 16:00:00,0.4216,0.4298,0.4208,0.4284,1150326.48,488437.09
2024-08-04 17:00:00,0.4165,0.422,0.4093,0.4216,2412080.05,1003686.35
2024-08-04 18:00:00,0.4216,0.4223,0.4125,0.4165,1213749.23,505799.12
2024-08-04 19:00:00,0.4275,0.4295,0.419,0.4216,1234617.2,525028.35
2024-08-04 20:00:00,0.4292,0.4321,0.4258,0.4275,913656.65,392022.59
2024-08-04 21:00:00,0.4265,0.4294,0.4255,0.4292,278923.34,119217.48
2024-08-04 22:00:00,0.4262,0.4295,0.4254,0.4265,392207.06,167643.49
2024-08-04 23:00:00,0.4213,0.4267,0.4204,0.4262,591891.44,250104.95
2024-08-05 00:00:00,0.4018,0.4242,0.3984,0.4213,3049733.82,1244467.37
2024-08-05 01:00:00,0.3781,0.4023,0.3662,0.4018,10152030.57,3856096.21
2024-08-05 02:00:00,0.3776,0.3792,0.3678,0.3781,3358777.21,1253668.92
2024-08-05 03:00:00,0.3671,0.3776,0.3667,0.3776,2722028.72,1005843.45
2024-08-05 04:00:00,0.3689,0.3737,0.3649,0.3671,2091482.71,770937.48
2024-08-05 05:00:00,0.3632,0.372,0.3555,0.3689,2439701.26,891563.65
2024-08-05 06:00:00,0.3539,0.3649,0.3457,0.3632,8280865.92,2889249.17
2024-08-05 07:00:00,0.3696,0.3738,0.35,0.3539,3202873.43,1150130.16
2024-08-05 08:00:00,0.3644,0.3697,0.3608,0.3696,1670437.79,609330.98
2024-08-05 09:00:00,0.3654,0.3668,0.3601,0.3644,922320.21,336002.63
2024-08-05 10:00:00,0.359,0.3664,0.3546,0.3654,2704583.34,971067
2024-08-05 11:00:00,0.36,0.3606,0.347,0.359,3007258.31,1063573.88
2024-08-05 12:00:00,0.3524,0.3632,0.3511,0.36,2331781.9,832147.21
2024-08-05 13:00:00,0.3726,0.3738,0.3479,0.3524,3261372.5,1172384.69
2024-08-05 14:00:00,0.377,0.383,0.3724,0.3726,3748159.33,1417422.97
2024-08-05 15:00:00,0.3847,0.3862,0.3742,0.377,2671079.13,1015981.13
2024-08-05 16:00:00,0.3841,0.3922,0.3834,0.3847,2326569.21,901024.32
2024-08-05 17:00:00,0.3873,0.39,0.3778,0.3841,2427824.46,931454.93
2024-08-05 18:00:00,0.3766,0.3876,0.3764,0.3873,810942.56,310422.81
2024-08-05 19:00:00,0.381,0.3822,0.3751,0.3766,1277142.37,484670.97
