time,close,high,low,open,volumefrom,volumeto
2024-08-03 03:00:00,153.35,153.46,149.98,150.41,64751.6,9840297.72
2024-08-03 04:00:00,151.45,153.37,151.08,153.35,41197.55,6265359.28
2024-08-03 05:00:00,151.7,152.4,151.06,151.45,11497.88,1744211.44
2024-08-03 06:00:00,152.43,152.58,151.31,151.7,25888.07,3936350.9
2024-08-03 07:00:00,151.53,153.31,151.53,152.43,37329.86,5695996.18
2024-08-03 08:00:00,150.17,151.79,149.09,151.53,30803.05,4631360.57
2024-08-03 09:00:00,150.9,150.92,148.24,150.17,51789.8,7732156.71
2024-08-03 10:00:00,151.65,151.91,150.3,150.9,33118.65,5012939.46
2024-08-03 11:00:00,152.25,152.45,151.22,151.65,63094.55,9574345.38
2024-08-03 12:00:00,152.52,153.42,151.88,152.25,34573.29,5281342.24
2024-08-03 13:00:00,151.88,152.72,151.29,152.52,42611.04,6467406.13
2024-08-03 14:00:00,151.24,152.78,150.91,151.88,31665.66,4815883.36
2024-08-03 15:00:00,146.11,151.87,145.96,151.24,154169.95,22827482.39
2024-08-03 16:00:00,145.76,147.41,144.6,146.11,207337.83,30206256.54
2024-08-03 17:00:00,142.36,146.41,141.87,145.76,192614.05,27632274.35
2024-08-03 18:00:00,141.54,142.75,139.84,142.36,184259.43,26051351.52
2024-08-03 19:00:00,140.36,142.92,140.36,141.54,95061.67,13470285.19
2024-08-03 20:00:00,140.77,142.31,140.02,140.36,110469.95,15586024.15
2024-08-03 21:00:00,142.75,143.24,140.3,140.77,86932.32,12347963.52
2024-08-03 22:00:00,142.81,143.09,141.86,142.75,59189.54,8445878.78
2024-08-03 23:00:00,142.46,143.87,142.22,142.81,78294.42,11194949.48
2024-08-04 00:00:00,144.03,144.15,142.26,142.46,41910.94,6004779.06
2024-08-04 01:00:00,144.05,144.15,141.86,144.03,55920.39,7992966.3
2024-08-04 02:00:00,145.37,145.96,143.94,144.05,71431.06,10355757.25
2024-08-04 03:00:00,144.27,145.71,143.95,145.37,32697.83,4730754.03
2024-08-04 04:00:00,142.91,144.35,142.84,144.27,52216.41,7504043.69
2024-08-04 05:00:00,143.57,144.32,142.81,142.91,26410.03,3787720.46
2024-08-04 06:00:00,143.61,143.92,142.95,143.57,19236.21,2760516.44
2024-08-04 07:00:00,140.76,143.67,140.54,143.61,50270.33,7118133.34
2024-08-04 08:00:00,142.2,142.5,139.53,140.76,56751.53,7979726.63
2024-08-04 09:00:00,143.38,143.44,141.84,142.2,33157.54,4732984.55
2024-08-04 10:00:00,144.06,144.22,142.56,143.38,71593.82,10286293.66
2024-08-04 11:00:00,143.45,144.41,143.22,144.06,23205.44,3337382.54
2024-08-04 12:00:00,144.87,144.93,143.13,143.45,31003.52,4465112.49
2024-08-04 13:00:00,143.63,145.04,143.63,144.87,27726.98,4001574.31
2024-08-04 14:00:00,137.7,143.85,137.31,143.63,233772.17,32521410.07
2024-08-04 15:00:00,135.09,137.7,134.9,137.7,291349.16,39664577.9
2024-08-04 16:00:00,133.11,136.67,132.64,135.09,176263.83,23733426.15
2024-08-04 17:00:00,134.95,135.78,131.31,133.11,386744.95,51496160.68
2024-08-04 18:00:00,139.02,140.07,134.45,134.95,313147.25,43083900.61
2024-08-04 19:00:00,141.99,142.86,138.16,139.02,235036.95,33105228.49
2024-08-04 20:00:00,142.66,143.88,141.09,141.99,107088.14,15256974.94
2024-08-04 21:00:00,140.36,142.76,140.03,142.66,105232.62,14868209.24
2024-08-04 22:00:00,140.66,142.61,139.89,140.36,80016.38,11308309.25
2024-08-04 23:00:00,138.24,140.8,137.31,140.66,111335.83,15432754.76
2024-08-05 00:00:00,131.39,139.24,130.03,138.24,465853.68,62539041.88
2024-08-05 01:00:00,130.99,133.56,121.89,131.39,1023691.07,131602615.09
2024-08-05 02:00:00,130.99,131.33,125.43,130.99,428386.57,55114656.96
2024-08-05 03:00:00,126.1,131.02,125.95,130.99,213495.72,27483065.63
2024-08-05 04:00:00,123.89,130.05,123.28,126.1,301201.42,37984518.57
2024-08-05 05:00:00,118.58,124.05,113.7,123.89,688969.62,82150457.67
2024-08-05 06:00:00,117.58,120,110.02,118.58,810400.27,93402966.64
2024-08-05 07:00:00,122.95,124.29,116.57,117.58,474929.5,57607059.14
2024-08-05 08:00:00,120.84,123.92,119.51,122.95,286260.13,34802227.79
2024-08-05 09:00:00,119.97,122.25,117.95,120.84,213775.29,25703521.26
2024-08-05 10:00:00,116,120.26,115.1,119.97,317973.69,37219669.37
2024-08-05 11:00:00,116.03,116.92,110.56,116,528884.43,59993866.82
2024-08-05 12:00:00,111.82,118.65,111.61,116.03,443956.3,50825420.53
2024-08-05 13:00:00,122.67,123.67,110.07,111.82,711941.13,83560081.32
2024-08-05 14:00:00,129.39,132.46,122.64,122.67,740511.02,94715701.55
2024-08-05 15:00:00,130.53,132.8,127.84,129.39,424312.49,55463192.88
2024-08-05 16:00:00,131.31,135.54,130.14,130.53,433085.13,57557055.36
2024-08-05 17:00:00,134.51,135.36,130.69,131.31,240700.62,31991850.93
2024-08-05 18:00:00,128.56,134.56,128.43,134.51,203064.83,26620093.98
2024-08-05 19:00:00,128.74,130.53,126.79,128.56,338228.68,43426187.32
2024-08-05 20:00:00,131.91,132.37,128.41,128.74,226548.98,29644087.77
2024-08-05 21:00:00,131.37,135.23,130.38,131.91,220543.99,29294711.35
2024-08-05 22:00:00,132.52,134.17,130.87,131.37,141897.36,18782903.33
2024-08-05 23:00:00,129.81,134.62,129.57,132.52,94997.25,12470867.4
2024-08-06 00:00:00,138.94,138.99,129.44,129.81,327644.37,44745034.23
2024-08-06 01:00:00,138.66,140.63,137.32,138.94,221956.76,30901447.4
2024-08-06 02:00:00,139.53,141.17,138.39,138.66,138974.09,19423222.12
2024-08-06 03:00:00,138.71,139.8,137.63,139.53,87474.92,12135778.73
2024-08-06 04:00:00,141.23,141.25,137.63,138.71,131035.89,18319527.24
2024-08-06 05:00:00,143.25,143.45,139.45,141.23,122163.39,17301120.73
2024-08-06 06:00:00,141.63,144.07,141.59,143.25,113009.13,16123718.56
2024-08-06 07:00:00,142.1,142.49,140.18,141.63,62138.23,8779789.23
2024-08-06 08:00:00,137.57,142.14,136.71,142.1,117524.74,16315605.97
2024-08-06 09:00:00,138.93,139.39,136.51,137.57,98773.48,13618073.34
2024-08-06 10:00:00,139.22,139.79,137.9,138.93,68539.06,9516774.99
2024-08-06 11:00:00,139.59,141.01,138.1,139.22,97067.05,13529414.31
2024-08-06 12:00:00,137.89,140.55,137.65,139.59,120086.13,16690228.15
2024-08-06 13:00:00,138.98,140.54,136.19,137.89,172478.41,23815196.8
2024-08-06 14:00:00,144.91,146.32,138.8,138.98,337257.58,48512831.2
2024-08-06 15:00:00,145.96,146.36,143.83,144.91,115585.02,16764419.6
2024-08-06 16:00:00,147.55,147.99,145.05,145.96,176552.64,25859603.79
2024-08-06 17:00:00,145.27,148.47,145.22,147.55,163517.61,24072521.66
