time,close,high,low,open,volumefrom,volumeto
2024-08-03 03:00:00,0.5634,0.5645,0.5586,0.5598,2529862.89,1421936.4
2024-08-03 04:00:00,0.5672,0.57,0.5615,0.5634,3524336.13,1994990.71
2024-08-03 05:00:00,0.5729,0.5731,0.5672,0.5672,2830629.95,1614822.56
2024-08-03 06:00:00,0.5721,0.5747,0.5706,0.5729,2360591.46,1352274.9
2024-08-03 07:00:00,0.5754,0.5771,0.5721,0.5721,2312194.63,1330124.53
2024-08-03 08:00:00,0.5689,0.5754,0.5644,0.5754,5176128.05,2952350.93
2024-08-03 09:00:00,0.5701,0.5704,0.5659,0.5689,1455333.59,826794.09
2024-08-03 10:00:00,0.5677,0.5701,0.5656,0.5701,1512014.97,858124.56
2024-08-03 11:00:00,0.5702,0.5742,0.566,0.5677,4205273.6,2397361.38
2024-08-03 12:00:00,0.5685,0.573,0.5671,0.5702,1958521.07,1117621.01
2024-08-03 13:00:00,0.5709,0.571,0.5672,0.5685,1721130.02,979940.72
2024-08-03 14:00:00,0.5675,0.5725,0.5667,0.5709,2652276.27,1511891.76
2024-08-03 15:00:00,0.5562,0.5679,0.5553,0.5675,5291002.6,2968039.63
2024-08-03 16:00:00,0.562,0.5661,0.5543,0.5562,8040748.09,4502573.03
2024-08-03 17:00:00,0.5509,0.5624,0.5495,0.562,5329586.28,2950686.55
2024-08-03 18:00:00,0.5492,0.5536,0.5449,0.5509,8153232.05,4483291.43
2024-08-03 19:00:00,0.5425,0.552,0.5421,0.5492,5376992.58,2948244.2
2024-08-03 20:00:00,0.5482,0.5514,0.5404,0.5425,6086953.91,3325228.76
2024-08-03 21:00:00,0.5559,0.5568,0.546,0.5482,3958456.42,2184023.14
2024-08-03 22:00:00,0.5548,0.556,0.5517,0.5559,2439441.57,1351428.7
2024-08-03 23:00:00,0.5557,0.5583,0.5528,0.5548,3195112.85,1776533.92
2024-08-04 00:00:00,0.5563,0.5567,0.552,0.5557,3065582.06,1699757.09
2024-08-04 01:00:00,0.5543,0.5566,0.5503,0.5563,2529797.82,1398224.75
2024-08-04 02:00:00,0.5561,0.5586,0.5536,0.5543,2050142.69,1140180.72
2024-08-04 03:00:00,0.557,0.5575,0.5546,0.5561,2187190.66,1216675.2
2024-08-04 04:00:00,0.5552,0.5588,0.5549,0.557,1121398.43,624714.03
2024-08-04 05:00:00,0.5559,0.557,0.5541,0.5552,934202.46,518905.18
2024-08-04 06:00:00,0.5546,0.557,0.5536,0.5559,688720.57,382314.35
2024-08-04 07:00:00,0.5475,0.5548,0.5462,0.5546,2006911.54,1103537.35
2024-08-04 08:00:00,0.549,0.5509,0.5438,0.5475,1459339.78,798570.46
2024-08-04 09:00:00,0.5482,0.5507,0.5473,0.549,984966.41,540610.61
2024-08-04 10:00:00,0.5493,0.5496,0.5451,0.5482,1524663.93,834067.53
2024-08-04 11:00:00,0.5436,0.5503,0.5423,0.5493,3585366.64,1958434.05
2024-08-04 12:00:00,0.5487,0.5495,0.5405,0.5436,3513518.76,1914708.1
2024-08-04 13:00:00,0.5443,0.5494,0.5443,0.5487,1559642.04,853143.13
2024-08-04 14:00:00,0.5305,0.5452,0.5271,0.5443,11748926.72,6268435.9
2024-08-04 15:00:00,0.5283,0.5305,0.5252,0.5305,8613000.61,4544315.12
2024-08-04 16:00:00,0.5229,0.5329,0.5217,0.5283,7276589.26,3841018.99
2024-08-04 17:00:00,0.5242,0.5263,0.5138,0.5229,13806086.28,7189210.4
2024-08-04 18:00:00,0.5298,0.5304,0.5191,0.5242,7149980.86,3746579.28
2024-08-04 19:00:00,0.5357,0.5372,0.5263,0.5298,6495020.86,3466321.99
2024-08-04 20:00:00,0.5338,0.54,0.5297,0.5357,4469505.13,2391833.78
2024-08-04 21:00:00,0.5283,0.5338,0.5273,0.5338,2788744.54,1478765.88
2024-08-04 22:00:00,0.5282,0.5337,0.5268,0.5283,3020416.28,1600810.62
2024-08-04 23:00:00,0.5228,0.529,0.5224,0.5282,4253538.76,2235800.05
2024-08-05 00:00:00,0.4971,0.5254,0.4928,0.5228,19336788.13,9781792.88
2024-08-05 01:00:00,0.4751,0.4984,0.4637,0.4971,59457338.42,28443452.56
2024-08-05 02:00:00,0.4784,0.4831,0.4649,0.4751,19505982.31,9215235.51
2024-08-05 03:00:00,0.474,0.4793,0.4686,0.4784,11658200.8,5527183.92
2024-08-05 04:00:00,0.4776,0.4827,0.4731,0.474,10944546.59,5231533.87
2024-08-05 05:00:00,0.4683,0.478,0.4613,0.4776,13564718.2,6378373.52
2024-08-05 06:00:00,0.4564,0.4698,0.4367,0.4683,37769711.54,17040293.86
2024-08-05 07:00:00,0.4695,0.475,0.4535,0.4564,13230609.05,6139389.85
2024-08-05 08:00:00,0.4659,0.4715,0.4618,0.4695,6945077.32,3242558.72
2024-08-05 09:00:00,0.4646,0.4694,0.4587,0.4659,7996078.7,3726039.4
2024-08-05 10:00:00,0.4513,0.4654,0.4481,0.4646,10226924.36,4648620.74
2024-08-05 11:00:00,0.4521,0.453,0.4384,0.4513,17647023.29,7858028.61
2024-08-05 12:00:00,0.4406,0.4564,0.4389,0.4521,15117440.74,6766442.91
2024-08-05 13:00:00,0.4655,0.4676,0.4322,0.4406,27701354.91,12430644.2
2024-08-05 14:00:00,0.4829,0.4863,0.4655,0.4655,28605671.93,13672250.09
2024-08-05 15:00:00,0.4891,0.4933,0.4779,0.4829,21265040.88,10352778.04
2024-08-05 16:00:00,0.4868,0.499,0.4865,0.4891,15521106.21,7647381.09
2024-08-05 17:00:00,0.4914,0.4945,0.484,0.4868,7820038.24,3825568.33
2024-08-05 18:00:00,0.4746,0.4922,0.4737,0.4914,8688496.69,4193570.78
2024-08-05 19:00:00,0.4799,0.482,0.473,0.4746,9516932.45,4548601.06
2024-08-05 20:00:00,0.491,0.4911,0.4795,0.4799,10109833.73,4905515.69
2024-08-05 21:00:00,0.4906,0.499,0.4883,0.491,10625839.75,5246280.23
2024-08-05 22:00:00,0.4958,0.4975,0.4902,0.4906,4844643.24,2396703
2024-08-05 23:00:00,0.4891,0.4999,0.4882,0.4958,8234883.3,4057613.33
2024-08-06 00:00:00,0.5127,0.5141,0.4881,0.4891,16392298.71,8292925.9
2024-08-06 01:00:00,0.5109,0.5162,0.5058,0.5127,12491310.37,6394381.25
2024-08-06 02:00:00,0.5111,0.5132,0.5084,0.5109,4838167.46,2472049.19
2024-08-06 03:00:00,0.5118,0.5137,0.5098,0.5111,3944664.81,2019450.45
2024-08-06 04:00:00,0.5092,0.5123,0.5062,0.5118,5884284.66,3000417.51
2024-08-06 05:00:00,0.5149,0.5157,0.5068,0.5092,6272314.18,3205136.31
2024-08-06 06:00:00,0.5149,0.5187,0.5126,0.5149,5812480.67,3000074.05
2024-08-06 07:00:00,0.5169,0.5191,0.5112,0.5149,8378461.74,4310218.15
2024-08-06 08:00:00,0.5039,0.5171,0.5011,0.5169,8783836.44,4471030.05
2024-08-06 09:00:00,0.5022,0.5039,0.4988,0.5039,5851136.81,2930864.12
2024-08-06 10:00:00,0.5001,0.5032,0.4978,0.5022,3038964.64,1521319.99
2024-08-06 11:00:00,0.5038,0.5062,0.4975,0.5001,7002791.92,3517981.89
2024-08-06 12:00:00,0.5002,0.5072,0.4994,0.5038,5192026.73,2611583.44
2024-08-06 13:00:00,0.502,0.504,0.495,0.5002,7822606.08,3911995.43
2024-08-06 14:00:00,0.5125,0.518,0.5015,0.502,12292624.22,6307845.98
2024-08-06 15:00:00,0.5111,0.5155,0.5041,0.5125,9895847.37,5045280.2
2024-08-06 16:00:00,0.5163,0.5178,0.5088,0.5111,8776078.14,4503962.72
2024-08-06 17:00:00,0.5118,0.5175,0.5117,0.5163,5823635.03,2997934.07
2024-08-06 18:00:00,0.5145,0.5168,0.5116,0.5118,3814280.86,1963215.73
2024-08-06 19:00:00,0.5122,0.5174,0.511,0.5145,8080786.11,4151758.39
2024-08-06 20:00:00,0.5102,0.5131,0.508,0.5122,4340791.07,2213988.11
2024-08-06 21:00:00,0.5101,0.5108,0.5065,0.5102,2867531.56,1458954.82
2024-08-06 22:00:00,0.5078,0.5152,0.5048,0.5101,4612430.55,2349511.16
2024-08-06 23:00:00,0.5063,0.5087,0.5037,0.5078,2676525.92,1353014.05
2024-08-07 00:00:00,0.5064,0.5079,0.5009,0.5063,3878268.46,1956286.87
2024-08-07 01:00:00,0.5119,0.5121,0.5005,0.5064,6422917.94,3259208.25
2024-08-07 02:00:00,0.5115,0.5158,0.508,0.5119,4586002.53,2348327.88
2024-08-07 03:00:00,0.5156,0.5172,0.5115,0.5115,7097935.16,3657224.99
2024-08-07 04:00:00,0.5153,0.5193,0.5135,0.5156,6436767.4,3323553.94
2024-08-07 05:00:00,0.5117,0.5166,0.5116,0.5153,3869600.64,1992082.56
2024-08-07 06:00:00,0.5118,0.5138,0.5106,0.5117,2335108.23,1195695.18
2024-08-07 07:00:00,0.5135,0.5158,0.5099,0.5118,3779256.24,1935887.58
2024-08-07 08:00:00,0.5162,0.5163,0.5133,0.5135,2567214.74,1322083.92
2024-08-07 09:00:00,0.5156,0.5191,0.515,0.5162,6798956.33,3516908.85
2024-08-07 10:00:00,0.5151,0.5196,0.5151,0.5156,4272240.88,2210478.38
2024-08-07 11:00:00,0.5143,0.518,0.5128,0.5151,5331155.46,2749690.45
2024-08-07 12:00:00,0.5166,0.5177,0.513,0.5143,5257197.83,2708243.93
2024-08-07 13:00:00,0.5082,0.5172,0.5069,0.5166,9065174.43,4644015.84
2024-08-07 14:00:00,0.4988,0.5092,0.4925,0.5082,15089055.8,7559687.87
2024-08-07 15:00:00,0.4997,0.5026,0.4969,0.4988,6584403.77,3288730.66
2024-08-07 16:00:00,0.5037,0.5049,0.4973,0.4997,8549693.08,4281125.42
2024-08-07 17:00:00,0.5027,0.5056,0.4996,0.5037,4643713.55,2334802.91
2024-08-07 18:00:00,0.5,0.5067,0.4992,0.5027,7521214.97,3775488.95
2024-08-07 19:00:00,0.5334,0.5387,0.5,0.5,27926874.45,14544993.64
2024-08-07 20:00:00,0.6028,0.6405,0.5146,0.5334,151957298.82,89729665.7
